size 22
turn_count 135
entity 1 BFAAB 16x5 infected
entity 2 FGDDD 2x2
entity 3 BGADB 17x16 infected
entity 4 AECEE 3x4 infected
entity 5 FCBDE 6x10
entity 6 BDCAF 15x2 infected
entity 7 GBEGA 3x19 infected
entity 8 FEFFB 20x16
entity 9 GAEFG 19x17
entity 10 GCFEA 18x2
entity 11 ADBGE 3x13
entity 12 BEAGE 9x20
entity 13 EDFFF 10x9
entity 14 DEBED 9x21
entity 15 ECAGG 21x5
entity 16 ABCAB 2x16
entity 17 ADBEC 8x1
turn 1 15x5 3x2 17x15 2x4 6x9 16x2 3x18 20x15 19x16 18x3 2x13 8x20 10x8 9x21 21x5 2x17 8x1 
turn 16 19x6 5x1 17x14 1x6 2x8 18x7 2x19 21x14 18x18 16x2 1x15 7x17 3x8 7x20 21x6 3x15 11x3 
turn 17 18x6 5x2 17x15 2x6 1x8 17x7 3x19 21x14 18x19 16x3 1x15 7x16 2x8 7x19 21x6 4x15 10x3 
turn 18 18x5 5x3 17x14 3x6 2x8 17x8 2x19 21x15 17x19 15x3 1x14 7x17 2x7 6x19 21x7 5x15 11x3 
turn 19 18x4 5x2 17x13 4x6 2x9 17x7 3x19 21x15 17x20 16x3 1x13 7x16 1x7 7x19 21x6 5x14 11x2 
turn 20 17x4 6x2 18x13 5x6 2x10 17x8 3x18 21x16 16x20 16x2 1x14 7x15 1x7 6x19 21x7 4x14 11x3 
turn 21 17x3 7x2 17x13 5x5 2x11 18x8 2x18 21x16 16x21 16x1 1x14 8x15 1x7 7x19 21x6 5x14 11x4 
turn 22 16x3 7x3 18x13 5x4 2x10 19x8 1x18 21x17 17x21 17x1 2x14 9x15 1x6 7x18 21x7 4x14 10x4 
turn 23 17x3 6x3 18x12 5x5 1x10 19x9 1x19 20x17 18x21 17x1 1x14 8x15 2x6 7x17 21x6 5x14 9x4 
turn 24 18x3 6x4 17x12 4x5 2x10 20x9 1x19 20x16 18x20 17x1 1x14 9x15 2x5 7x18 21x5 4x14 8x4 
turn 25 18x2 6x5 18x12 4x4 1x10 20x8 1x20 20x15 18x19 16x1 2x14 9x14 2x6 7x17 20x5 3x14 7x4 
turn 26 17x2 6x4 17x12 4x3 1x10 19x8 2x20 21x15 18x18 15x1 3x14 8x14 2x7 7x18 20x6 3x15 8x4 
turn 27 18x2 6x3 16x12 4x2 1x9 18x8 1x20 21x16 19x18 15x1 3x13 9x14 1x7 8x18 20x5 3x14 9x4 
turn 28 17x2 6x4 17x12 4x3 1x10 18x9 1x20 21x17 19x19 15x1 3x14 10x14 2x7 7x18 21x5 3x15 8x4 
turn 29 17x3 6x3 17x13 4x2 1x10 18x8 2x20 21x17 19x20 15x2 3x15 11x14 1x7 7x17 21x6 3x14 7x4 
turn 30 17x4 6x4 17x12 4x3 1x9 18x7 3x20 21x16 20x20 15x3 4x15 11x13 1x8 7x18 20x6 3x15 7x5 
turn 31 18x4 5x4 17x13 5x3 2x9 18x8 4x20 20x16 19x20 15x4 3x15 11x14 1x8 8x18 19x6 3x14 6x5 
turn 32 18x3 5x3 16x13 5x2 2x8 17x8 4x21 20x17 19x21 16x4 3x16 12x14 1x8 8x17 20x6 2x14 6x6 
turn 33 17x3 4x3 16x12 6x2 1x8 18x8 5x21 19x17 18x21 16x5 3x15 13x14 1x8 9x17 20x7 2x13 5x6 
turn 34 17x2 5x3 16x13 5x2 1x8 18x7 4x21 18x17 17x21 17x5 3x16 14x14 1x8 8x17 20x6 3x13 5x7 
turn 35 17x3 5x2 16x12 4x2 2x8 18x8 3x21 19x17 17x20 17x6 3x17 14x13 1x7 8x16 21x6 2x13 6x7 
turn 36 17x4 6x2 16x13 5x2 2x9 17x8 2x21 18x17 17x19 17x7 4x17 15x13 2x7 8x17 21x5 1x13 6x8 
turn 37 18x4 6x1 17x13 4x2 3x9 16x8 3x21 18x18 17x20 17x8 4x18 15x14 1x7 8x16 21x5 1x12 5x8 
turn 38 18x3 6x2 18x13 3x2 4x9 17x8 3x21 19x18 17x19 16x8 5x18 16x14 2x7 9x16 21x6 1x11 5x9 
turn 39 18x4 5x2 18x14 3x1 4x8 16x8 3x20 19x17 18x19 15x8 5x17 15x14 3x7 10x16 21x6 1x12 4x9 
turn 40 19x4 5x1 19x14 2x1 4x7 16x9 3x21 19x18 18x18 16x8 5x18 15x13 3x8 9x16 21x7 2x12 4x8 
turn 41 19x3 6x1 20x14 2x1 3x7 17x9 4x21 20x18 18x17 16x7 5x17 14x13 3x9 8x16 21x7 2x13 3x8 
turn 42 19x2 7x1 20x13 3x1 3x6 16x9 4x20 19x18 18x16 16x8 5x16 15x13 3x8 8x15 21x8 3x13 3x9 
turn 43 19x1 7x1 20x14 3x1 4x6 15x9 4x19 19x19 18x15 17x8 5x17 15x14 2x8 7x15 21x7 3x12 2x9 
turn 44 19x2 7x1 20x13 3x1 3x6 15x8 5x19 20x19 19x15 17x9 5x18 15x13 2x7 7x14 21x6 3x11 2x10 
turn 45 20x2 7x2 20x14 3x1 2x6 16x8 5x20 20x20 20x15 18x9 5x19 15x14 2x6 7x15 21x5 3x10 2x11 
turn 46 20x3 7x1 21x14 3x1 2x7 16x9 5x21 20x19 19x15 19x9 4x19 15x13 2x7 7x16 21x5 3x11 3x11 
turn 47 20x2 8x1 20x14 3x1 1x7 16x10 6x21 20x18 20x15 20x9 4x18 15x12 2x6 7x17 21x6 4x11 3x10 
turn 48 19x2 9x1 20x13 4x1 1x7 16x11 5x21 19x18 19x15 19x9 4x19 15x13 3x6 6x17 20x6 4x10 2x10 
turn 49 18x2 8x1 21x13 3x1 1x6 16x12 5x20 20x18 19x16 18x9 4x20 14x13 2x6 6x18 19x6 4x9 2x11 
turn 50 17x2 8x2 21x13 3x1 1x5 16x11 5x19 20x17 18x16 19x9 4x21 15x13 1x6 6x19 18x6 4x8 3x11 
turn 51 17x1 8x3 20x13 3x1 1x4 15x11 4x19 20x18 17x16 19x10 3x21 15x14 1x5 7x19 18x7 4x7 3x10 
turn 52 18x1 8x4 19x13 3x2 1x5 16x11 4x20 21x18 17x15 19x9 4x21 16x14 1x5 7x18 18x8 3x7 3x9 
turn 53 19x1 7x4 19x12 4x2 1x4 15x11 4x19 20x18 17x16 19x10 4x20 17x14 1x4 8x18 17x8 4x7 4x9 
turn 54 18x1 7x5 19x11 3x2 1x4 14x11 4x18 20x19 17x17 20x10 5x20 17x13 1x4 8x17 18x8 4x8 5x9 
turn 55 17x1 8x5 20x11 3x3 1x3 14x10 4x19 21x19 16x17 21x10 4x20 17x14 1x5 7x17 19x8 3x8 5x8 
turn 56 16x1 7x5 20x12 2x3 1x3 14x11 4x18 21x18 16x16 20x10 5x20 17x15 1x4 7x18 20x8 3x7 5x9 
turn 57 17x1 6x5 21x12 2x2 1x2 14x12 4x17 21x18 15x16 21x10 5x19 17x16 1x5 7x17 19x8 2x7 6x9 
turn 58 16x1 6x6 21x13 2x3 1x1 13x12 3x17 21x18 15x15 21x9 4x19 18x16 1x6 7x18 19x9 3x7 6x10 
turn 59 16x1 6x7 21x13 2x2 1x1 13x11 2x17 21x19 16x15 21x9 4x18 18x17 1x5 7x19 19x10 3x8 5x10 
turn 60 15x1 6x6 21x14 2x3 1x1 12x11 2x18 20x19 17x15 20x9 5x18 18x18 1x4 7x18 19x11 4x8 6x10 
turn 61 15x2 6x7 21x13 2x4 2x1 13x11 1x18 20x18 16x15 19x9 5x19 17x18 2x4 6x18 19x12 4x7 6x9 
turn 62 16x2 6x8 20x13 2x3 1x1 13x10 2x18 21x18 16x14 19x10 5x20 17x19 2x3 6x17 20x12 5x7 5x9 
turn 63 15x2 7x8 20x12 2x4 1x1 13x11 2x17 21x19 16x15 19x11 4x20 17x18 3x3 7x17 21x12 5x8 6x9 
turn 64 15x3 7x9 21x12 3x4 1x1 13x12 3x17 21x19 16x16 19x10 4x21 17x17 3x2 7x18 21x11 5x9 6x10 
turn 65 16x3 8x9 20x12 3x5 1x2 14x12 3x16 21x19 16x17 19x11 3x21 17x16 3x3 7x19 21x12 5x10 6x11 
turn 66 16x2 7x9 20x13 2x5 1x2 14x13 4x16 21x19 17x17 19x12 4x21 16x16 4x3 6x19 21x12 5x11 6x12 
turn 67 15x2 7x10 21x13 2x4 1x2 14x12 3x16 21x19 17x16 20x12 5x21 16x17 4x4 6x18 21x12 5x12 6x13 
turn 68 15x1 7x9 21x12 1x4 1x1 13x12 3x15 21x20 18x16 20x11 6x21 17x17 3x4 5x18 21x12 4x12 6x12 
turn 69 16x1 7x8 21x11 2x4 2x1 13x11 3x14 20x20 18x17 21x11 5x21 17x16 3x3 4x18 21x11 3x12 7x12 
turn 70 16x1 6x8 21x11 3x4 3x1 14x11 3x13 20x19 18x16 20x11 4x21 17x17 3x4 3x18 21x11 3x11 8x12 
turn 71 16x2 6x7 21x10 4x4 2x1 14x10 4x13 20x20 18x17 20x12 5x21 16x17 4x4 4x18 21x12 4x11 7x12 
turn 72 16x3 6x6 21x10 5x4 3x1 14x11 3x13 19x20 17x17 21x12 4x21 15x17 4x5 4x17 21x13 4x10 7x11 
turn 73 17x3 7x6 20x10 4x4 3x2 14x12 3x12 18x20 16x17 21x12 5x21 15x16 4x4 3x17 21x12 4x9 7x12 
turn 74 17x4 7x7 20x9 4x5 3x3 15x12 2x12 19x20 16x16 21x12 6x21 15x15 3x4 3x16 20x12 3x9 7x13 
turn 75 17x3 6x7 19x9 4x6 3x4 15x11 3x12 19x19 17x16 21x11 6x21 16x15 2x4 4x16 20x11 2x9 6x13 
turn 76 16x3 6x8 19x8 4x7 4x4 16x11 3x13 19x18 17x15 21x11 6x21 15x15 1x4 3x16 19x11 2x10 6x12 
turn 77 15x3 5x8 20x8 3x7 3x4 16x10 2x13 19x17 18x15 21x11 7x21 15x14 2x4 3x15 19x12 2x11 6x13 
turn 78 15x4 5x9 20x7 3x8 4x4 16x11 2x12 20x17 18x14 21x11 7x21 14x14 2x3 3x14 20x12 3x11 6x12 
turn 79 14x4 5x8 20x8 3x9 5x4 17x11 3x12 19x17 19x14 21x11 6x21 14x13 1x3 2x14 20x11 4x11 6x13 
turn 80 14x5 5x9 20x7 2x9 5x3 17x12 2x12 19x16 20x14 21x11 6x20 14x14 1x2 3x14 21x11 3x11 7x13 
turn 81 13x5 5x10 21x7 1x9 5x4 17x11 1x12 19x17 21x14 20x11 6x21 14x13 2x2 3x15 21x11 4x11 7x14 
turn 82 12x5 5x9 21x7 1x10 4x4 17x10 2x12 19x18 20x14 20x10 6x21 15x13 3x2 4x15 20x11 4x12 7x15 
turn 83 13x5 5x8 21x6 1x11 4x5 17x11 2x11 18x18 19x14 21x10 5x21 15x14 2x2 3x15 21x11 5x12 7x16 
turn 84 12x5 4x8 20x6 2x11 4x6 18x11 1x11 17x18 19x15 20x10 5x20 14x14 1x2 3x14 20x11 5x11 7x17 
turn 85 11x5 4x9 19x6 3x11 3x6 18x10 1x11 17x17 19x14 20x11 4x20 14x15 1x1 3x13 21x11 5x10 7x18 
turn 86 11x4 4x10 18x6 4x11 3x5 18x11 1x12 16x17 18x14 19x11 3x20 14x16 1x1 3x14 20x11 5x9 7x17 
turn 87 12x4 4x9 18x5 4x10 4x5 19x11 1x12 17x17 18x13 19x10 4x20 14x17 1x2 2x14 19x11 5x10 8x17 
turn 88 12x5 3x9 18x4 5x10 4x4 19x10 1x13 18x17 17x13 19x11 3x20 13x17 1x2 2x15 18x11 6x10 8x16 
turn 89 12x4 2x9 19x4 6x10 4x3 19x11 1x13 18x16 17x14 20x11 4x20 14x17 1x1 1x15 19x11 7x10 9x16 
turn 90 11x4 3x9 20x4 7x10 4x4 19x12 2x13 19x16 16x14 21x11 3x20 15x17 2x1 1x15 18x11 7x9 8x16 
turn 91 11x5 3x8 20x5 7x9 3x4 19x11 1x13 19x15 16x15 21x11 3x21 15x18 3x1 2x15 18x10 6x9 8x17 
turn 92 11x4 3x9 19x5 7x8 3x5 19x10 1x13 19x16 16x16 21x11 4x21 15x19 2x1 2x14 18x9 6x10 9x17 
turn 93 10x4 3x8 20x5 7x9 3x6 19x11 1x12 20x16 15x16 21x11 3x21 15x20 1x1 3x14 18x10 7x10 10x17 
turn 94 11x4 3x9 21x5 7x8 2x6 18x11 1x11 20x17 15x17 20x11 3x21 15x21 2x1 3x13 19x10 8x10 10x18 
turn 95 11x5 2x9 21x4 6x8 3x6 17x11 1x11 20x16 15x16 19x11 3x21 16x21 2x1 4x13 19x11 7x10 11x18 
turn 96 11x6 3x9 20x4 6x7 2x6 17x10 2x11 21x16 14x16 20x11 3x21 16x20 2x2 4x12 20x11 7x9 12x18 
turn 97 11x7 2x9 19x4 6x8 3x6 17x9 1x11 20x16 14x15 20x12 3x21 16x19 1x2 4x13 20x12 7x8 12x17 
turn 98 10x7 1x9 20x4 6x9 4x6 18x9 1x12 19x16 14x16 21x12 3x20 16x18 1x2 4x14 20x13 7x7 13x17 
turn 99 10x8 2x9 19x4 7x9 3x6 18x8 1x11 19x15 15x16 21x12 4x20 15x18 1x2 5x14 20x12 6x7 13x16 
turn 100 10x7 2x8 20x4 6x9 4x6 18x9 1x11 19x14 15x17 21x11 3x20 16x18 1x1 4x14 20x11 6x6 13x17 
turn 101 9x7 2x9 19x4 6x8 4x7 17x9 1x12 20x14 15x16 21x11 4x20 17x18 1x1 4x15 21x11 6x7 13x16 
turn 102 9x8 2x8 19x3 6x9 3x7 18x9 2x12 21x14 16x16 21x12 5x20 18x18 1x2 5x15 20x11 6x6 12x16 
turn 103 9x9 3x8 18x3 6x10 3x6 18x10 2x11 20x14 16x17 21x12 5x19 18x19 1x3 5x16 19x11 5x6 11x16 
turn 104 10x9 2x8 19x3 6x11 2x6 17x10 2x12 19x14 15x17 21x12 5x20 19x19 2x3 5x15 18x11 6x6 11x15 
turn 105 10x8 1x8 19x4 6x10 2x5 17x11 2x13 20x14 15x16 21x13 5x19 19x18 1x3 6x15 19x11 6x5 12x15 
turn 106 9x8 1x7 20x4 6x11 2x4 18x11 1x13 20x15 14x16 21x13 6x19 18x18 1x2 6x14 20x11 7x5 11x15 
turn 107 9x9 1x8 20x3 6x12 1x4 18x10 1x13 20x14 15x16 20x13 7x19 17x18 2x2 6x13 19x11 7x4 10x15 
turn 108 9x10 1x7 21x3 6x13 1x4 17x10 1x13 21x14 14x16 20x14 6x19 17x19 2x3 5x13 20x11 8x4 11x15 
turn 109 9x9 1x7 21x2 5x13 1x3 17x9 1x13 21x15 15x16 20x13 5x19 16x19 2x2 6x13 19x11 8x5 10x15 
turn 110 9x8 1x8 21x2 4x13 2x3 18x9 1x14 20x15 16x16 20x12 4x19 15x19 1x2 7x13 18x11 9x5 10x14 
turn 111 10x8 2x8 21x1 5x13 2x4 17x9 2x14 20x16 16x15 21x12 4x18 15x18 1x1 6x13 18x10 8x5 9x14 
turn 112 10x7 2x7 21x1 5x12 3x4 17x10 1x14 21x16 16x16 21x12 5x18 15x19 2x1 6x14 19x10 8x4 8x14 
turn 113 9x7 1x7 21x2 6x12 2x4 17x11 1x15 20x16 16x15 21x12 5x17 15x20 1x1 6x13 19x9 8x5 8x15 
turn 114 10x7 1x6 21x3 6x13 2x5 17x12 1x15 20x17 15x15 21x13 5x18 15x19 2x1 6x14 19x8 8x4 7x15 
turn 115 10x8 1x5 20x3 6x12 1x5 17x11 1x16 20x16 16x15 21x14 6x18 15x18 3x1 7x14 19x9 8x3 7x16 
turn 116 9x8 2x5 19x3 7x12 1x5 18x11 2x16 20x15 16x16 20x14 6x17 15x17 3x1 7x13 19x10 8x2 8x16 
turn 117 9x7 1x5 18x3 7x11 1x5 19x11 3x16 19x15 16x15 20x13 7x17 15x18 3x1 7x12 18x10 9x2 9x16 
turn 118 10x7 2x5 18x2 6x11 1x5 19x12 2x16 19x14 15x15 20x12 8x17 16x18 3x1 7x11 19x10 10x2 10x16 
turn 119 10x8 1x5 18x1 6x10 1x5 19x13 2x17 19x15 15x16 20x11 8x18 16x17 4x1 8x11 19x9 9x2 11x16 
turn 120 10x9 1x6 19x1 6x9 1x6 18x13 2x18 19x16 16x16 20x10 9x18 16x18 3x1 8x12 20x9 10x2 12x16 
turn 121 11x9 2x6 20x1 6x10 1x7 18x12 2x17 20x16 16x15 20x9 9x17 15x18 4x1 8x11 20x10 10x1 11x16 
turn 122 10x9 2x7 20x2 7x10 1x8 19x12 2x16 20x15 15x15 20x10 9x16 15x17 4x2 8x12 19x10 11x1 12x16 
turn 123 11x9 3x7 20x3 8x10 1x7 20x12 3x16 20x14 14x15 20x11 9x15 15x18 5x2 8x13 18x10 10x1 12x15 
turn 124 12x9 3x6 20x4 9x10 1x6 21x12 3x17 19x14 14x16 20x10 10x15 15x19 5x1 9x13 17x10 10x1 13x15 
turn 125 12x10 4x6 20x5 10x10 1x5 21x11 3x16 20x14 15x16 20x11 10x16 15x20 5x1 9x14 16x10 9x1 13x14 
turn 126 13x10 4x5 19x5 10x11 1x4 21x11 2x16 21x14 16x16 20x12 10x15 15x19 6x1 9x13 17x10 9x2 13x13 
turn 127 14x10 4x4 19x4 10x10 1x4 21x12 3x16 21x13 16x17 20x11 9x15 14x19 6x2 8x13 17x11 9x3 12x13 
turn 128 14x9 4x5 20x4 10x9 2x4 21x12 4x16 21x12 17x17 19x11 9x16 14x20 6x3 8x12 16x11 8x3 12x14 
turn 129 15x9 4x4 20x3 9x9 2x5 20x12 4x15 21x11 17x18 19x10 10x16 14x19 6x4 8x13 16x12 7x3 12x13 
turn 130 15x10 4x5 21x3 9x8 2x6 19x12 4x14 21x10 16x18 19x11 10x17 15x19 6x5 9x13 15x12 7x2 13x13 
turn 131 14x10 5x5 21x2 10x8 3x6 19x11 4x15 21x11 17x18 20x11 10x18 15x20 6x6 9x12 14x12 7x1 12x13 
turn 132 13x10 5x4 21x2 11x8 4x6 20x11 4x14 21x10 16x18 20x12 10x19 15x21 6x5 9x11 15x12 7x1 13x13 
turn 133 13x11 6x4 21x3 11x9 4x7 21x11 3x14 21x9 16x17 19x12 9x19 16x21 5x5 10x11 15x11 7x2 13x14 
turn 134 14x11 6x3 21x4 12x9 4x8 21x10 3x13 21x9 15x17 19x11 8x19 15x21 6x5 11x11 16x11 7x1 12x14 
turn 135 13x11 5x3 20x4 13x9 3x8 20x10 4x13 21x10 15x18 20x11 8x20 15x21 6x6 12x11 17x11 6x1 12x13 
